,title,combined
10,Kidnapping Mr Heineken,Action  Adventure Dramas International Movies  JimSturgess SamWorthington RyanKwanten AnthonyHopkins MarkvanEeuwen ThomasCocquerel JemimaWest DavidDencik Kidnapping Mr Heineken When beer magnate Alfred Freddy Heineken is kidnapped in 1983 his abductors make the largest ransom demand in history
11,Krish Trish and Baltiboy,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra BabaSehgal Krish Trish and Baltiboy A team of minstrels including a monkey cat and donkey narrate folktales from the Indian regions of Rajasthan Kerala and Punjab
12,Krish Trish and Baltiboy Battle of Wits,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra BabaSehgal DeepakChachra Krish Trish and Baltiboy Battle of Wits An artisan is cheated of his payment a lion of his throne and a brother of his inheritance in these three stories of deception and justice
13,Krish Trish and Baltiboy Best Friends Forever,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra DeepakChachra Krish Trish and Baltiboy Best Friends Forever A cat monkey and donkey team up to narrate folktales about friendship from Northeast India and the Indian regions of Bihar and Rajasthan
14,Krish Trish and Baltiboy Comics of India,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra BabaSehgal Krish Trish and Baltiboy Comics of India In three comicstripstyle tales a boy tries to sell wisdom a demon is released from captivity and a king assigns impossible tasks to his minister
15,Krish Trish and Baltiboy Oversmartness Never Pays,Children  Family Movies  RishiGambhir SmitaMalhotra DeepakChachra Krish Trish and Baltiboy Oversmartness Never Pays A cat monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan West Bengal and Maharashtra
16,Krish Trish and Baltiboy Part II,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra BabaSehgal Krish Trish and Baltiboy Part II Animal minstrels narrate stories about a monkeys friendship with a crocodile two monkeys foolishness and a villagers encounter with a demon
17,Krish Trish and Baltiboy The Greatest Trick,Children  Family Movies  DamandeepSinghBaggan SmitaMalhotra BabaSehgal Krish Trish and Baltiboy The Greatest Trick The consequences of trickery are explored in stories involving an inconsiderate husband two greedy courtiers and a kind man who loses everything
18,Love,Cult Movies Dramas Independent Movies  KarlGlusman KlaraKristin AomiMuyock UgoFox JuanSaavedra GasparNoé IsabelleNicou BenoîtDebie VincentMaraval DéborahRévy Love A man in an unsatisfying marriage recalls the details of an intense past relationship with an exgirlfriend when he gets word that she may be missing
19,Manhattan Romance,Comedies Independent Movies Romantic Movies  TomO'Brien KatherineWaterston CaitlinFitzgerald GabyHoffmann LouisCancelmi ZachGrenier Manhattan Romance A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects
20,Moonwalkers,Action  Adventure Comedies International Movies  RonPerlman RupertGrint RobertSheehan StephenCampbellMoore EricLampaert KevinBishop TomAudenaert ErikaSainte Moonwalkers A brainaddled war vet a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing
21,Stonehearst Asylum,Horror Movies Thrillers  KateBeckinsale JimSturgess DavidThewlis BrendanGleeson BenKingsley MichaelCaine JasonFlemyng SophieKennedyClark SinéadCusack EdmundKingsley Stonehearst Asylum In 1899 a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentors methods while falling for a female patient
22,The Runner,Dramas Independent Movies  NicolasCage SarahPaulson ConnieNielsen WendellPierce BryanBatt PeterFonda DanaGourrier The Runner A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal
23,6 Years,Dramas Independent Movies Romantic Movies  TaissaFarmiga BenRosenfield LindsayBurdge JoshuaLeonard JenniferLafleur PeterVack DanaWheeler-Nicholson JasonNewman MollyMcMichael 6 Years As a volatile young couple who have been together for six years approach college graduation unexpected career opportunities threaten their future
24,Castle of Stars,International TV Shows Romantic TV Shows TV Comedies  ChaiyapolPupart JintanutdaLummakanon WorrawechDanuwong OrnjiraLamwilai YongArmchair KeeratiMahapreukpong AkaratNimitchai KornpassornDuaysianklao NattapongChartpong Castle of Stars As four couples with different lifestyles go through the ebbs and flows of joy and sorrow each must learn how to live a good life
25,Laddaland,Horror Movies International Movies  SaharatSangkapreecha PokPiyatidaWoramusik SutattaUdomsilp AthipichChutiwatkajornchai DeuntemSalitul SahajakBoonthanakit Laddaland When a family moves into an upscale housing development they encounter a series of paranormal events that drive them to the edge of insanity
26,Next Gen,Children  Family Movies Comedies SciFi  Fantasy  JohnKrasinski CharlyneYi JasonSudeikis MichaelPeña DavidCross ConstanceWu Next Gen When lonely Mai forms an unlikely bond with a topsecret robot they embark on an intense actionpacked adventure to foil the plot of a vicious villain
27,Sierra Burgess Is A Loser,Comedies Romantic Movies  ShannonPurser KristineFroseth RJCyler NoahCentineo LorettaDevine GiorgiaWhigham AliceLee LeaThompson AlanRuck MaryPatGleason ChrissyMetz Sierra Burgess Is A Loser A wrongnumber text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks hes talking to a gorgeous cheerleader
28,The Most Assassinated Woman in the World,Dramas International Movies Thrillers  AnnaMouglalis NielsSchneider AndréWilms MichelFau SissiDuparc Jean-MichelBalthazar JulieRecoing EricGodon MayaColine ConstanceDollé The Most Assassinated Woman in the World In 1930s Paris an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past
29,Cézanne et moi,Dramas Independent Movies International Movies  GuillaumeCanet GuillaumeGallienne AlicePol DéborahFrançois SabineAzéma FreyaMavor IsabelleCandelier LaurentStocker Cézanne et moi This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola who first met as schoolboys
30,Archibalds Next Big Thing,Kids TV TV Comedies  TonyHale RosamundPike JordanFisher ChelseaKane AdamPally KariWahlgren Archibalds Next Big Thing Happygolucky chicken Archibald may not remember to do his chores but he never forgets to have fun After all lifes an adventure
31,Article 15,Dramas International Movies Thrillers  AyushmannKhurrana Nassar ManojPahwa KumudMishra IshaTalwar SayaniGupta MohammedZeeshanAyyub SubhrajyotiBarat SushilPandey AakashDabhade Article 15 The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into Indias heartland to investigate a murder
32,Care of Kancharapalem,Comedies Dramas Independent Movies  SubbaRaoVepada RadhaBessy KesavaKarri NithyasriGoru KarthikRathnam PraneethaPatnaik MohanBhagath PraveenaParuchuri Care of Kancharapalem From a schoolboys crush to a middleaged bachelors office romance four love stories spanning age religion and status unfold in a small Indian town
33,Ee Nagaraniki Emaindi,Comedies International Movies  VishwaksenNaidu SushanthReddy AbhinavGomatam VenkateshKakumanu AnishaAmbrose SimranChoudhary Ee Nagaraniki Emaindi In Goa and in desperate need of cash four childhood friends get another shot at making their longabandoned dreams of becoming filmmakers come true
34,Kill Me If You Dare,Comedies International Movies Romantic Movies  MuratBoz SedaBakan AçelyaTopaloğlu ÖzgürEmreYıldırım SedaGüven YosiMizrahi DilşadŞimşek AliYoğurtçuoğlu Kill Me If You Dare Bogged down with money problems a couple grows cautious of each other but hit the lottery and decide to stay together  till death do they part
35,The Spy,International TV Shows TV Dramas TV Thrillers  SachaBaronCohen NoahEmmerich HadarRatzonRotem AlexanderSiddig WaleedZuaiter NassimLyes The Spy In the 1960s Israeli clerkturnedsecret agent Eli Cohen goes deep undercover inside Syria on a perilous yearslong mission to spy for Mossad
36,Hell and Back,Action  Adventure Comedies Independent Movies  NickSwardson MilaKunis BobOdenkirk T.J.Miller RobRiggle SusanSarandon DannyMcBride JenniferCoolidge JohnFarley MariaBamford Hell and Back When best friends break a blood oath one of them is cast away to hell and the other two must save him from the misfits of the underworld
37,PK,Comedies Dramas International Movies  AamirKhan AnuskhaSharma SanjayDutt SaurabhShukla ParikshatSahni SushantSinghRajput BomanIrani Rukhsar PK Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India
38,Hard Tide,Dramas Independent Movies  NathanaelWiseman MemFerda AlexandraNewick OliverStark KatGellin AndyLucas RalphBrown BeverlyHills Hard Tide A drug dealer whos been emulating his fathers successful criminal career is forced to go on the run with a young girl in this factbased thriller
39,Elstree 1976,Documentaries  PaulBlake JeremyBulloch JohnChapman AnthonyForrest LaurieGoode GarrickHagon DerekLyons AngusMacInnes DavidProwse PamRose Elstree 1976 Then and now footage of bit players who appeared in Star Wars tells the story of how the film and its legions of fans changed their lives forever
40,American Factory A Conversation with the Obamas,Documentaries  PresidentBarackObama MichelleObama JuliaReichert StevenBognar American Factory A Conversation with the Obamas Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling
41,ATM,Comedies International Movies Romantic Movies  ChantavitDhanasevi PreechayaPongthananikorn ChaleumpolTikumpornteerawong ThawatPornrattanaprasert SananthachatThanapatpisal PongkoolSuebsung PuttachatPongsuchat GornpopJanjaroen YaneeTramoth PongsatornJongwilak ATM When a broken ATM dishes out a fortune a couple who works at the bank vies to see who can recover the most cash  and the loser must find a new job
42,Bangkok Traffic Love Story,Comedies International Movies Romantic Movies  TheeradejWongpuapan SirinHorwang UngsumalynnSirapatsakmetha PanissaraPhimpru TaksaornPaksukcharern CharlieTrairat KazukiYano Bangkok Traffic Love Story After an encounter with an engineer working the night shift for the city train a 30yearold woman struggles against all odds to pursue true love
43,I Fine Thank You Love You,Comedies International Movies Romantic Movies  PreechayaPongthananikorn SunnySuwanmethanont SoraAoi PuttachatPongsuchat PopetornSoonthornyanakij I Fine Thank You Love You Desperate to go to the US to win back his girlfriend Yim hires a tutor to teach him English But things dont go according to plan
44,One Day,Dramas International Movies Romantic Movies  ChantavitDhanasevi NitthaJirayungyurn TheerapatSajakul PrimBulakul KrisSrepoomseth SomyosMatures SutthatipWutichaipradit RermthonKemapech KazSawamura One Day When his colleague and crush temporarily loses her memory an overlooked geek seizes the chance to make an impression before she remembers again
45,Phobia 2,Horror Movies International Movies  JirayuLa-ongmanee CharlieTrairat WorrawechDanuwong MarshaWattanapanich NicoleTheriault ChumphornThepphithak GachaPlienwithi SuteerushChannukool PeeratchaiRoompol NattapongChartpong Phobia 2 From disfiguring punishments to festering souls Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology
46,Shutter,Horror Movies International Movies  AnandaEveringham NatthaweeranuchThongmee AchitaSikamana UnnopChanpaibool TitikarnTongprasearth SivagornMuttamara ChachchayaChalemphol KachormsakNaruepatr Shutter After killing a young girl in a hitandrun accident a couple is haunted by more than just the memory of their deadly choice
47,Suckseed,Comedies International Movies  JirayuLa-ongmanee PacharaChirathivat NattashaNauljam ThawatPornrattanaprasert Suckseed When his boyhood crush Ern returns Ped forms a band with his friend to impress her Romantic rivalries bloom after the talented Ern joins the group
48,Carrie Pilby,Comedies Dramas  BelPowley NathanLane VanessaBayer GabrielByrne JasonRitter ColinO'Donoghue WilliamMoseley DesminBorges Carrie Pilby A socially awkward 19yearold genius makes big plans to step out of her shell and make a friend get a job and  maybe  even go on a date
49,Marc Maron Too Real,StandUp Comedy  MarcMaron Marc Maron Too Real Battlescarred standup comedian Marc Maron unleashes a storm of ideas about meditation mortality documentary films and our weird modern world
50,No Tomorrow,Romantic TV Shows TV Comedies TV Dramas  JoshuaSasse ToriAnderson JonathanLangdon SarayuBlue JesseRath AmyPietz No Tomorrow Her straitjacketed life turned topsyturvy by hunky Xavier Evie discovers a new freedom  even though her man just might be an endofdays crackpot
51,Saawan,Dramas Independent Movies International Movies  KaramHussain ArifBahlim NajibaFaiz SaleemMairaj ImranAslam DaniyalYousuf SohailMalik AliHafiz Saawan Outcast from society and left to die in the wilderness a young boy with polio embarks on a journey to connect with his mother Based on a true story
52,The Heretics,Horror Movies  NinaKiri RyBarrett JorjaCadence WillKing NinaRichmond The Heretics A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation
53,The World We Make,Dramas Romantic Movies  CalebCastille RoseReid KevinSizemore GregoryAlanWilliams The World We Make A teenage equestrian and a local football player for each other but simmering racism in their small town puts their relationship to the test
54,Watchman,Comedies Dramas International Movies  G.V.PrakashKumar SamyukthaHegde Suman RajArjun YogiBabu Munishkanth Watchman Rushing to pay off a loan shark a young man breaks into a bungalow to steal the cash unprepared for the dog standing guard  or the trouble inside
55,Black Panther,Action  Adventure SciFi  Fantasy  ChadwickBoseman MichaelB.Jordan LupitaNyong'o DanaiGurira MartinFreeman DanielKaluuya LetitiaWright WinstonDuke SterlingK.Brown AngelaBassett ForestWhitaker AndySerkis FlorenceKasumba JohnKani DavidS.Lee StanLee Black Panther TChalla the superpowered new leader of the hidden highly advanced African nation of Wakanda strives to protect his home from enemies old and new
56,Man Up,Comedies International Movies Romantic Movies  LakeBell SimonPegg OpheliaLovibond OliviaWilliams RoryKinnear HenryLloyd-Hughes KenStott SharonHorgan HarrietWalter StephenCampbellMoore Dean-CharlesChapman PhoebeWaller-Bridge Man Up A single woman seizes an opportunity when while standing under a train station clock she meets a stranger who mistakes her for his blind date
57,Frequency,Crime TV Shows TV Dramas TV Mysteries  PeytonList RileySmith MekhiPhifer DevinKelley LennyJacobson DanielBonjour AnthonyRuivivar Frequency A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased estranged father via a time warp
58,Mo Gilligan Momentum,StandUp Comedy  MoGilligan Mo Gilligan Momentum Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings family dynamics and the complex art of dancing in the club
59,Adam Ruins Everything,TV Comedies  AdamConover AdamLustick EmilyAxford Adam Ruins Everything Education can be fun  and funny Comedian Adam Conover bursts misconceptions deconstructs topics and leaves with positive takeaways
60,Ben 10,Kids TV  TaraStrong MontseHernandez DavidKaye RogerCraigSmith ToddHaberkorn DwightSchultz DarylSabara Ben 10 Ben can transform into ten types of aliens Hell try em all while adventuring across the country with his cousin Gwen and Grandpa Max
61,Big Miracle,Children  Family Movies Dramas  DrewBarrymore JohnKrasinski KristenBell DermotMulroney TimBlakeNelson VinessaShaw TedDanson StephenRoot RobRiggle MichaelGaston Big Miracle After a reporter writes about whales trapped in the Arctic Circle the US and USSR team up to rescue them in this tale inspired by true events
62,We Bare Bears,Kids TV TV Comedies  EricEdelstein DemetriMartin BobbyMoynihan We Bare Bears Grizzly Panda and Ice Bear are three adopted bear brothers struggling against their animal instincts to fit into the civilized modern human world
63,The Mayor,Dramas International Movies  Min-sikChoi Do-wonKwak Eun-kyungShim So-riMoon Mi-ranRa Hye-youngRyu KiHongLee Sun-gyuJin Joo-yeonLee Byeong-eunPark The Mayor With the presidency in mind the incumbent mayor of Seoul runs for an unprecedented third term  and will stop at nothing to keep his secrets hidden
64,Lovesick,International TV Shows Romantic TV Shows TV Dramas  KongyingyongChonlathorn PhumphothingamNawat LuangsodsaiAnupart NuchanartVeerakaarn ChindavanichPrimrose CharnmanoonPannin NungiraHanwutinanon AusavaterakulAusavapat SirikietSaejea NontapanChuenwarin Lovesick Love and academics get complicated at an allmale college that happens to be located next to an allfemale high school
65,The Debt Collector,Action  Adventure  ScottAdkins LouisMandylor VladimirKulich MichaelParé RachelBrann SelinaLo TonyTodd The Debt Collector A broke martial arts instructor takes a side gig with a mobster who pairs him with a veteran thug for a weekend of fisticuffsfueled debt collection
66,Act of Vengeance,Action  Adventure International Movies  HalukBilginer MahsunKırmızıgül MustafaSandal GinaGershon RobertPatrick DannyGlover EnginAltanDüzyatan ScottWilliamWinters SharrieffPugh Act of Vengeance Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as Dejjal Arabic for Antichrist
67,Paradise Lost,Dramas Independent Movies International Movies  JúlioAndrade LeeTaylor HermilaGuedes JuliaKonrad ErasmoCarlos MarjorieEstiano SeuJorge Jaloo FelipeAbib HumbertoCarrão MaluGalli Paradise Lost A cop moonlights as the bodyguard for a young drag queen at a nightclub and grows closer to the family of misfit singers that perform there
68,Geralds Game,Horror Movies Thrillers  CarlaGugino BruceGreenwood HenryThomas CarelStruycken ChiaraAurelia Geralds Game When her husbands sex game goes wrong Jessie  handcuffed to a bed in a remote lake house  faces warped visions dark secrets and a dire choice
69,Mak Cun,International TV Shows TV Comedies TV Dramas  ErmaFatima RahimRazali UmieAida NoraDanish Mak Cun A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances
70,Our Souls at Night,Dramas Romantic Movies  RobertRedford JaneFonda BruceDern MatthiasSchoenaerts IainArmitage JudyGreer PhyllisSomerville Our Souls at Night After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness a real romance begins to blossom
71,Paul Hollywoods Big Continental Road Trip,British TV Shows Docuseries International TV Shows  PaulHollywood Paul Hollywoods Big Continental Road Trip Gear up for a fastpaced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France Italy and Germany
72,Satu Hari,International TV Shows TV Dramas  SaraAli RemyIshak RitaRudaini MirzaSalihovic HafizulKamal MillerKhan Satu Hari A man haunted by his wifes affair moves to Sarajevo and starts to love again until fate forces him to choose between his new life and old loyalty
73,Monster High Boo York Boo York,Children  Family Movies Music  Musicals  KarenStrassman CelesteHenderson WendeeLee TJSmith AmericaYoung RachelStaman LauraBailey Monster High Boo York Boo York Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along But the sinister Nefera has other plans
74,Domino,International Movies Thrillers  NikolajCoster-Waldau CaricevanHouten EriqEbouaney GuyPearce MohammedAzaay SørenMalling PaprikaSteen HelenaKaittani Domino A Copenhagen police officer hunts for the man who attacked his partner only to stumble into a highstakes game of espionage
75,TUNA GIRL,Dramas International Movies  FukaKoshiba TomFujita HidetoshiHoshida HirotoKanai RyosukeYusa ShuriTanaka ChalInoue TakashiTaniguchi TakeshiMasu TUNA GIRL A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation The work isnt easy
76,5CM,Dramas International Movies  HerjunotAli RalineShah FediNuril PevitaPearce Saykoji DennySumargo DidiPetet FirrinaSinatrya 5CM Five friends embark on a mission to climb the highest peak in Java overcoming obstacles on the way and discovering the true meaning of friendship
77,Animal World,Action  Adventure International Movies SciFi  Fantasy  LiYiFeng ZhouDongyu MichaelDouglas BingkunCao GeWang KeanuChi ZhangJungyi YijuanLi SuKe Animal World An unlucky debtridden teen resorts to his math skills when hes forced into a deadly tournament of rockpaperscissors run by a diabolical host
78,Hold the Dark,Action  Adventure Dramas  JeffreyWright AlexanderSkarsgård JamesBadgeDale RileyKeough JulianBlackAntelope TantooCardinal MaconBlair JonathanWhitesell PeterMcRobbie Hold the Dark In the grim Alaskan winter a naturalist hunts for wolves blamed for killing a local boy but he soon finds himself swept into a chilling mystery
79,Single,Comedies International Movies Romantic Movies  RadityaDika AnnisaRawles ChandraLiow PandjiPragiwaksono BabeCabita ElviraDevinamira TinnaHarahap PevitaPearce RinnaHassim DedeYusuf DewiHughes Single Unemployed and immature a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger more successful brother
80,The 3rd Eye,Horror Movies International Movies  JessicaMila DennySumargo CitraPrima BiancaHello EpyKusnandar AnitaHara DerryDrajat VokeVictoria ShofiaShireen AfdhalYusman The 3rd Eye When her little sister claims she sees the dead Alia consults a psychic who opens her own eyes to the vengeful ghosts haunting their childhood home
81,The Sinking Of Van Der Wijck,Dramas International Movies Romantic Movies  HerjunotAli PevitaPearce RezaRahadian RandyNidji GesyaShandy KevinAndrean ArzettiBilbina The Sinking Of Van Der Wijck When a young man leaves home to fulfill the wishes of his late father he meets and falls in love with a woman from a very different background
82,Bard of Blood,International TV Shows TV Action  Adventure TV Dramas  EmraanHashmi ViineetKumar SobhitaDhulipala JaideepAhlawat KirtiKulhari SohumShah RajitKapoor DanishHussain Bard of Blood Years after a disastrous job in Balochistan a former Indian spy must confront his past when he returns to lead an unsanctioned hostagerescue mission
83,Deliha 2,Comedies International Movies  GupseÖzay EdaEce AkselBonfil DeryaAlabora EsinEden HülyaDuyar AliÇelik MertÖner Deliha 2 While chasing her dream of becoming a chef Zeliha cooks up trouble in the kitchen with her wild kooky and unsuspecting ways
84,Dragons Rescue Riders,Kids TV TV Comedies  NicolasCantu BrennleyBrown ZachCallison SkaiJackson NoahKayeBentley AndreRobinson MarsaiMartin Dragons Rescue Riders Twins Dak and Leyla and their dragon friends devote their lives to rescuing others defending their home of Huttsgalor and having fun along the way
85,In the Shadow of the Moon,Dramas SciFi  Fantasy Thrillers  BoydHolbrook MichaelC.Hall CleopatraColeman BokeemWoodbine RudiDharmalingam RachelKeller In the Shadow of the Moon A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation
86,Skylines,Crime TV Shows International TV Shows TV Dramas  EdinHasanovic PeriBaumeister MurathanMuslu ErdalYıldız RichyMüller AnnaHerrmann SahinEryilmaz LisaMariaPotthoff CarolSchuler DustinJérômeSchanz Nimo ChristopherSchärf SlavkoPopadic Skylines A hiphop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business
87,The Politician,TV Comedies TV Dramas Teen TV Shows  BenPlatt GwynethPaltrow JessicaLange ZoeyDeutch LucyBoynton BobBalaban DavidCorenswet JuliaSchlaepfer LauraDreyfuss TheoGermaine RahneJones BenjaminBarrett The Politician Rich kid Payton has always known hes going to be president But first he has to navigate the most treacherous political landscape of all high school
88,Weeds on Fire,Dramas Independent Movies International Movies  LiuKaiChi LamYiu-sing TonyTsz-TungWu PoonChan-leung SunLiMan TamSinYin ShamKaKi WangSimin JanLamb Weeds on Fire In 1980s Hong Kong a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league
89,Much Loved,Dramas Independent Movies International Movies  LoubnaAbidar AsmaaLazrak HalimaKaraouane SaraElMhamdiElaaloui AbdellahDidane DannyBoushebel CarloBrandt CaméliaMontassere Much Loved Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession
90,Joseph King of Dreams,Children  Family Movies Dramas Faith  Spirituality  BenAffleck MarkHamill RichardHerd MaureenMcGovern JodiBenson JudithLight JamesEckhouse RichardMcGonagle DavidCampbell StevenWeber DanCastellaneta ReneAuberjonois KenHudsonCampbell TomVirtue JeffBennett Joseph King of Dreams With his gift of dream interpretation and his brilliantly colored coat Joseph inspires jealousy in his brothers in this animated Bible story
91,Malaal,International Movies Romantic Movies  MeezaanJaffrey SharminSegal ChinmayaSurve AnilGawas SonalJha SanjayGurbaxani SameerDharmadhikari DeepakDamle Malaal Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new North Indian resident of his chawl
92,The Grandmaster,Action  Adventure Dramas International Movies  TonyLeungChiu-wai ZhangZiyi ChangChen XiaoShen-Yang ZhaoBenshan SongHye-kyo WangQingxiang ZhangJin LoHoi-pang CungLe JulianCheung The Grandmaster As the Japanese invasion looms Chinese kung fu master Ip Mans world changes when rival master Gong Er and her father arrive in his village
93,The Inmate,Crime TV Shows International TV Shows SpanishLanguage TV Shows  IgnacioSerricchio AnaClaudiaTalancón FlavioMedina LuisFelipeTovar MarianaSeoane GuyEcker IsabellaCastillo BradleyStryker GustavoSánchezParra LeonardoOrtizgris AlejandroCalva RodrigoOviedo RamónMedína ErikHayser TiaréScanda The Inmate A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a US judges teen daughter
94,The Hurricane Heist,Action  Adventure  TobyKebbell MaggieGrace RyanKwanten RalphIneson MelissaBolona BenCross JamieAndrewCutler The Hurricane Heist A deadly hurricane with milehigh waves provides the perfect cover for stealing 600 million from a US Treasury outpost in Mississippi
95,Def Comedy Jam 25,StandUp Comedy  DaveChappelle SteveHarvey CedrictheEntertainer MartinLawrence TiffanyHaddish KattWilliams CraigRobinson D.L.Hughley EddieGriffin J.B.Smoove JoeTorry KidCapri MikeEpps SherylUnderwood TracyMorgan DeonCole Def Comedy Jam 25 In this special live event giants of standup come together to commemorate the 25th anniversary of Russell Simmonss groundbreaking Def Comedy Jam
96,Restless Creature Wendy Whelan,Documentaries  PeterMartins SeanSuozzi GretchenSmith AshleyLaracey TilerPeck DamianWoetzel AlbertEvans SterlingHyltin CraigHall PeterBoal KarenYoung MichelleRodriguez JockSoto AdamBarrett Restless Creature Wendy Whelan After 30 years with the New York City Ballet celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life
97,Furie,Action  Adventure Dramas International Movies  NgoThanhVan PhanThanhNhien MaiCatVi ThanhHoa PhamAnhKhoa Furie When traffickers kidnap her daughter from their village vengeful Hai Phuong returns to Saigon  and her outlaw roots  to take down the abductors
98,Leap,Children  Family Movies Comedies  BronwenMantel MelBrooks MaddieZiegler DaneDeHaan JulieKhaner ElleFanning TerrenceScammell TamirKapelian CarlyRaeJepsen Leap Félicie and Victor two young friends in 1880s France escape from an orphanage to pursue their dreams in Paris the glittering City of Lights
99,Oh Baby Malayalam,Comedies International Movies Music  Musicals  SamanthaRuthPrabhu Lakshmi Rajendraprasad NagaShourya RaoRamesh TejaSajja Pragathi JagapathiBabu Aishwarya Urvashi Oh Baby Malayalam A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life
100,Oh Baby Tamil,Comedies International Movies Music  Musicals  SamanthaRuthPrabhu Lakshmi Rajendraprasad NagaShourya RaoRamesh TejaSajja Pragathi JagapathiBabu Aishwarya Urvashi Oh Baby Tamil A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life
